(ep: 7, it: 46600, t: 0.002[s], ept: 0.03/0.11[h]) loss_total: 0.557, acc_r: 0.730
(ep: 7, it: 51600, t: 0.001[s], ept: 0.04/0.11[h]) loss_total: 0.597, acc_r: 0.640
(ep: 7, it: 56600, t: 0.002[s], ept: 0.04/0.11[h]) loss_total: 0.509, acc_r: 0.720
(ep: 7, it: 61600, t: 0.002[s], ept: 0.04/0.11[h]) loss_total: 0.514, acc_r: 0.750
(ep: 7, it: 66600, t: 0.001[s], ept: 0.05/0.11[h]) loss_total: 0.509, acc_r: 0.760
(ep: 7, it: 71600, t: 0.002[s], ept: 0.05/0.11[h]) loss_total: 0.494, acc_r: 0.740
(ep: 7, it: 76600, t: 0.002[s], ept: 0.05/0.11[h]) loss_total: 0.465, acc_r: 0.770
(ep: 7, it: 81600, t: 0.002[s], ept: 0.06/0.11[h]) loss_total: 0.477, acc_r: 0.770
(ep: 7, it: 86600, t: 0.002[s], ept: 0.06/0.11[h]) loss_total: 0.549, acc_r: 0.740
(ep: 7, it: 91600, t: 0.001[s], ept: 0.06/0.11[h]) loss_total: 0.596, acc_r: 0.720
(ep: 7, it: 96600, t: 0.002[s], ept: 0.07/0.11[h]) loss_total: 0.552, acc_r: 0.720
(ep: 7, it: 101600, t: 0.001[s], ept: 0.07/0.11[h]) loss_total: 0.513, acc_r: 0.770
(ep: 7, it: 106600, t: 0.002[s], ept: 0.08/0.11[h]) loss_total: 0.576, acc_r: 0.680
(ep: 7, it: 111600, t: 0.002[s], ept: 0.08/0.11[h]) loss_total: 0.455, acc_r: 0.780
(ep: 7, it: 116600, t: 0.002[s], ept: 0.08/0.11[h]) loss_total: 0.525, acc_r: 0.730
(ep: 7, it: 121600, t: 0.002[s], ept: 0.09/0.11[h]) loss_total: 0.457, acc_r: 0.800
(ep: 7, it: 126600, t: 0.001[s], ept: 0.09/0.11[h]) loss_total: 0.558, acc_r: 0.650
(ep: 7, it: 131600, t: 0.002[s], ept: 0.09/0.11[h]) loss_total: 0.726, acc_r: 0.590
(ep: 7, it: 136600, t: 0.002[s], ept: 0.10/0.11[h]) loss_total: 0.747, acc_r: 0.540
(ep: 7, it: 141600, t: 0.002[s], ept: 0.10/0.11[h]) loss_total: 0.628, acc_r: 0.680
(ep: 7, it: 146600, t: 0.001[s], ept: 0.10/0.11[h]) loss_total: 0.653, acc_r: 0.630
(ep: 8, it: 200, t: 0.001[s], ept: 0.00/0.23[h]) loss_total: 0.517, acc_r: 0.770
(ep: 8, it: 5200, t: 0.001[s], ept: 0.00/0.11[h]) loss_total: 0.576, acc_r: 0.670
(ep: 8, it: 10200, t: 0.002[s], ept: 0.01/0.11[h]) loss_total: 0.539, acc_r: 0.730
(ep: 8, it: 15200, t: 0.002[s], ept: 0.01/0.11[h]) loss_total: 0.542, acc_r: 0.750
(ep: 8, it: 20200, t: 0.002[s], ept: 0.01/0.11[h]) loss_total: 0.549, acc_r: 0.670
(ep: 8, it: 25200, t: 0.002[s], ept: 0.02/0.11[h]) loss_total: 0.590, acc_r: 0.680
(ep: 8, it: 30200, t: 0.001[s], ept: 0.02/0.11[h]) loss_total: 0.499, acc_r: 0.770
(ep: 8, it: 35200, t: 0.002[s], ept: 0.03/0.11[h]) loss_total: 0.394, acc_r: 0.880
(ep: 8, it: 40200, t: 0.002[s], ept: 0.03/0.11[h]) loss_total: 0.644, acc_r: 0.650
